sid,doming,propellering2,propellering,total_displacement
4339261,0.0022280349379442807,0.6191162356903707,0.6474720296795068,5.910519253840464
4067836,0.20095494740508374,0.6831463106096061,0.8059083493327889,9.234335837769425
7023553,0.04776978334683834,0.7222163382160641,0.05060774227775651,15.559570420240824
4314949,0.03311502754765137,0.8799983864418196,0.2497745919301883,7.893443779075236
4083628,0.14084629742561797,0.09111238575420744,0.9411511072341343,10.048979479584839
7112809,0.00213386411520332,0.9684271679750686,0.43322436392236885,9.556063229680396
2013229,0.1579018520269893,0.7700427409623539,0.3881489361740832,14.463048466355282
8000085,0.5568835797317186,0.4837271667748531,0.591633603195462,4.50090849487995
4322302,0.08544551207145816,0.2914302078899187,0.8540471922220958,23.599189236812872
7022103,0.0030747901732943645,0.3717554068516366,0.8357852776169501,8.732620332901805
4323617,0.06954006855066659,0.13740170962753104,0.991443176736217,10.806940527195326
4341726,0.04955061472820174,0.37717487332473,0.8293307125250581,3.952430205652248
4322358,0.10323207027921145,0.049013121666017914,0.9603615779242763,10.952323329242754
4348563,0.04475695407725814,0.054055127401871135,0.9814546426659714,5.501256326020511
4022185,0.057083641381657,0.7456985392125605,0.7287043014406196,7.350550913539059
4075886,0.4650848529688531,0.2731208076454125,0.8515524842849483,11.804317286001632
1513466,0.057978195757198384,0.9019125433757601,0.23430574127418743,11.98601932780788
1551471,0.003883081640762762,0.1133449682145555,0.9857208290649369,7.926892631206161
7220454,0.5432727551990826,0.6868538828635888,0.4783750762076575,13.907366993067424
2005277,0.0039519982212777765,0.17041601871831863,0.9966237411414833,11.133728913049431
4322642,4.312707267971291e-05,0.9544788983032245,0.10314358476925703,10.323988159597032
4063565,0.057092655205047756,0.5719155090268694,0.6733913190555022,11.419934741299654
1556870,0.003772357700572297,0.6041070627553369,0.8984849562708133,11.4070666030148
4309869,0.002700086118799047,0.4858732132579439,0.7530026647688184,11.859240187656775
2208603,0.7113791678246181,0.1966636124409298,0.20260313854496223,333.5335190402132
7224315,0.5529461460119918,0.6114764906539913,0.4086141221663913,7.601279418250966
7247163,0.0020058063346728894,0.6629506400527229,0.5955297962605384,10.086861148792796
1516044,0.44154935885866914,0.8033307951097803,0.24692188701274267,10.535688445102762
4109436,0.16349530598699638,0.8192025929226385,0.6854898948812884,11.67266887677877
7701576,0.38446259748687817,0.9192449855736653,0.2697772263305962,10.878497278897333
7037225,0.2104258688719034,0.3378695225738964,0.7716694753347931,16.33460636453781
2018539,0.25176843444523817,0.8072875130170527,0.6703180379632275,8.541321102859567e-18
7101480,0.23850710608886638,0.9187229583549994,0.47004904354627464,7.437010370301895
4126289,0.17036434916140142,0.8681544211103772,0.2799278716476865,8.443817559450313
7112121,0.0666838538781237,0.8134330785691887,0.6665235057655817,11.314720909122137
4038858,0.6020751315304476,0.12002121420064321,0.4313948705275249,19.072524813268497
7042957,0.444535512159315,0.14895362356842712,0.8644858438333899,11.365018874927028
2227441,0.00012103392659304092,0.9605099261256068,0.08381653654619008,4.729799244750006
4315229,0.09123772067811577,0.9771733358439024,0.3503084274184047,10.93754912834068
4336512,0.6746255245262908,0.18162789005033672,0.6852751580963056,15.893237490870332
7218833,0.002333900549718838,0.9512043596763203,0.48676369710311046,11.735737812279208
7224159,0.6198010309605546,0.02340033460900199,0.7324987825149561,16.16344592103187
