,sid,structure_type,coordination_number,n_beta_hydrogens,n_meso_hydrogens,metal_radius,metal_charge,total_non_planarity
302,7218833,porphyrin,4,8,0,2.1,2.0,0.07887334483964242
303,7223136,porphyrin,5,8,0,2.05,3.0,0.385638676845041
304,7223226,porphyrin,4,7,0,2.0,2.0,1.2328951881075414
305,7226004,porphyrin,5,8,0,2.1,2.0,0.22378307208322293
306,7227530,corrole,6,8,0,2.0,3.0,0.3845828778239395
307,7231910,porphyrin,4,8,0,2.1,2.0,0.16508991075593482
308,7236605,porphyrin,6,8,1,2.0,2.0,0.39068826526835165
309,7243790,corrole,4,7,0,2.1,3.0,0.7820686470713847
310,7243791,corrole,5,6,0,2.05,5.0,0.7827549169277864
311,7701574,porphyrin,4,8,1,2.05,2.0,0.2789941924987122
312,7701575,porphyrin,4,8,1,2.05,2.0,0.6358338648302783
313,7701576,porphyrin,4,8,1,2.05,2.0,0.2688923171769625
314,7701724,porphyrin,6,8,0,2.0,3.0,0.5022786292688931
315,7710982,corrole,4,4,0,2.1,3.0,0.3738295474272407
316,7713179,porphyrin,6,0,0,2.05,2.0,3.136415214994257
317,8000085,porphyrin,7,8,0,1.7,5.0,1.2621601955372934
318,8101904,porphyrin,4,8,0,2.0,2.0,0.10961670012108071
319,8106545,porphyrin,5,8,0,2.1,2.0,0.4527099777990414
