,sid,structure_type,coordination_number,central_metal,metal_charge,number_of_atoms,molar_mass
230,4515932,corrole,6,Pt,4.0,56,899.8965800000003
231,4515971,corrole,4,Cu,3.0,56,1669.3519400000002
232,7003904,porphyrin,4,Zn,2.0,77,1191.343982
233,7008885,porphyrin,4,Ni,2.0,57,815.8800400000009
234,7013355,porphyrin,4,Zn,2.0,41,598.14136
235,7017014,porphyrin,4,Zn,2.0,73,1038.7561600000013
236,7017683,porphyrin,4,Zn,2.0,45,630.05712
237,7023552,porphyrin,4,Zn,2.0,101,1350.8652000000006
238,7025050,porphyrin,6,Fe,2.0,69,976.8153200000007
239,7027060,porphyrin,4,Ni,2.0,59,811.6360600000003
240,7029526,porphyrin,4,Pt,2.0,73,1144.4358400000012
241,7029612,porphyrin,4,Zn,2.0,73,1070.9735200000007
242,7030771,porphyrin,5,Co,3.0,61,834.8893200000005
243,7032602,porphyrin,4,Ni,2.0,45,623.37052
244,7032603,porphyrin,4,Ni,2.0,46,657.8155800000001
245,7034891,porphyrin,6,Ni,2.0,69,929.6509600000005
246,7036483,corrole,6,Ir,3.0,76,1168.2870200000007
247,7036963,porphyrin,6,Fe,2.0,71,977.8826800000005
248,7037223,porphyrin,5,Ir,3.0,61,974.2638200000006
249,7037225,porphyrin,5,Ir,3.0,63,996.2693400000006
250,7037226,porphyrin,5,Ir,3.0,58,930.1682000000009
251,7038120,porphyrin,4,Zn,2.0,75,1022.2486800000012
252,7041454,corrole,5,Ta,5.0,55,889.8596400000007
253,7041455,corrole,6,Ta,5.0,52,889.6446800000004
254,7042956,porphyrin,4,Ni,2.0,58,865.1743080000002
255,7042957,porphyrin,4,Ni,2.0,59,881.1737080000001
256,7043621,corrole,4,Cu,3.0,58,787.3860400000002
257,7045053,porphyrin,6,Ni,2.0,73,1005.6511200000006
258,7045057,porphyrin,6,Ni,2.0,85,1159.8191600000005
259,7045058,porphyrin,6,Ni,2.0,85,1159.8191600000005
260,7048463,porphyrin,4,Zn,2.0,39,553.9611600000001
261,7049489,corrole,6,Co,3.0,85,1282.5871464000004
262,7049490,corrole,6,Co,3.0,77,1146.5912072
263,7056127,porphyrin,4,Pt,2.0,57,951.7216256000004
264,7056128,porphyrin,4,Pt,2.0,65,1079.7897984000006
265,7057245,porphyrin,5,Zn,2.0,63,1032.7603000000001
266,7060415,corrole,5,Co,3.0,73,1052.7387130000004
267,7060416,corrole,5,Co,3.0,73,1052.7387130000006
268,7100412,corrole,6,Rh,3.0,71,1082.6207280000006
269,7101480,porphyrin,4,Ni,2.0,44,611.3167599999999
270,7101481,porphyrin,4,Ni,2.0,44,610.332
271,7103064,porphyrin,5,Zn,2.0,58,1135.8774700000001
272,7103688,porphyrin,6,Os,2.0,72,1104.3746400000005
273,7104049,porphyrin,4,Ni,2.0,61,863.8183600000003
274,7106670,porphyrin,6,Rh,3.0,62,906.2742800000002
275,7106671,porphyrin,6,Rh,3.0,65,948.3540200000006
276,7108058,porphyrin,4,Zn,2.0,44,688.9635400000001
277,7108133,porphyrin,4,Zn,2.0,53,750.3332800000006
278,7108513,corrole,5,Ti,4.0,60,820.8838800000005
279,7108943,porphyrin,4,Ni,2.0,51,725.5901000000001
280,7112063,corrole,5,Ti,3.0,55,772.8734200000002
281,7112064,corrole,5,Ti,4.0,51,721.1107800000004
282,7112120,porphyrin,6,Rh,3.0,57,847.2088400000001
283,7112121,porphyrin,6,Rh,3.0,56,833.1822600000003
284,7115941,porphyrin,6,Ni,4.0,67,1055.646600000001
285,7120022,corrole,5,Co,3.0,79,1193.7041530000006
286,7120023,corrole,6,Co,3.0,80,1160.8352330000007
287,7121559,porphyrin,4,Ni,2.0,52,732.5195400000001
288,7121561,porphyrin,4,Ni,2.0,46,656.4235800000001
289,7124121,corrole,5,Co,3.0,79,1134.8392530000008
290,7124122,corrole,5,Fe,3.0,62,899.4716920000004
291,7124557,porphyrin,6,Rh,3.0,57,847.2088400000001
292,7124558,porphyrin,6,Rh,3.0,56,833.1822600000003
293,7126171,porphyrin,6,Ru,6.0,69,1022.945825600001
294,7126172,porphyrin,6,Ru,2.0,79,1160.2109856000006
295,7156220,porphyrin,4,Ni,2.0,64,944.043060000001
296,7157771,porphyrin,4,Zn,2.0,52,871.4030200000008
297,7203541,porphyrin,6,Ru,2.0,69,996.9379200000005
298,7208118,porphyrin,6,Fe,2.0,65,874.8075200000003
299,7214135,corrole,6,Co,3.0,69,1010.5952680000004
300,7218168,porphyrin,4,Ni,2.0,53,791.3938420000001
301,7218169,porphyrin,4,Pd,2.0,53,839.1204420000005
302,7218833,porphyrin,4,Zn,2.0,73,982.4837600000011
303,7223136,porphyrin,5,Mn,3.0,46,686.9777690000003
304,7223226,porphyrin,4,Ni,2.0,55,747.4695200000001
305,7226004,porphyrin,5,Zn,2.0,109,1613.5000799999998
306,7227530,corrole,6,Co,3.0,73,1070.6472280000005
307,7231910,porphyrin,4,Zn,2.0,57,778.1377600000003
308,7236605,porphyrin,6,Ni,2.0,97,1314.1992000000005
309,7243790,corrole,4,Au,3.0,47,802.5533596000002
310,7243791,corrole,5,Re,5.0,50,823.9116600000006
311,7701574,porphyrin,4,Pd,2.0,53,819.1063810000005
312,7701575,porphyrin,4,Pd,2.0,47,731.0873810000004
313,7701576,porphyrin,4,Pt,2.0,53,907.7643810000009
314,7701724,porphyrin,6,Ir,3.0,69,1100.2953210000005
315,7710982,corrole,4,Au,3.0,66,1108.9992700000012
316,7713179,porphyrin,6,Fe,2.0,69,1463.9410799999996
317,8000085,porphyrin,7,C,5.0,56,897.9917400000003
318,8101904,porphyrin,4,Ni,2.0,65,911.6211600000006
319,8106545,porphyrin,5,Zn,2.0,66,905.3153800000003
