sid,structure,non-planarity (exp.),non-planarity (sim.),Doming,Saddling,Ruffling,WavingX,WavingY,Propellering,Doming2,Saddling2,Ruffling2,WavingX2,WavingY2,Propellering2,Doming (%),Saddling (%),Ruffling (%),WavingX (%),WavingY (%),Propellering (%),Doming2 (%),Saddling2 (%),Ruffling2 (%),WavingX2 (%),WavingY2 (%),Propellering2 (%)
7036483,Corrole,0.3059191704934999,0.3052604125402728,0.05861110678338503,0.14575895006265033,-0.23642553615781314,0.06147406194141184,0.0076719240389460635,-0.001814627538944272,-0.012436009086745919,-0.012919345025409769,-0.030427660279068614,-0.0049210617681145095,0.08202511493073848,-0.0009952463698016704,8.941699090797634,22.23695717038199,36.069033971952685,9.378470974804774,1.1704272444000179,0.2768392256280344,1.8972351359116395,1.97097277303344,4.642037954648801,0.7507562295374074,12.513735635626508,0.15183459327708804
4103379,Corrole,0.21223860524261226,0.21209651353362172,0.2438944727318652,0.0015599419627277172,0.0422772108590816,0.057744594915372476,-0.003184176195202089,0.004414790723815579,-0.07083719493312184,0.0033992534778308644,0.028422086505306986,0.006930544824976696,0.012626882103094785,-0.000980572826112034,51.20910216498301,0.3275319298793232,8.876699770533097,12.124296329371157,0.6685629332431638,0.9269478995591598,14.873273312753973,0.7137214578137984,5.967619992735042,1.4551661381494552,2.6511929048652667,0.20588516611355204
7043621,Corrole,1.086618867534027,1.08542898205001,-0.07167045532291681,1.027591945605642,-0.035329627900997765,-0.06327958032122392,0.03457438598189784,-0.05649433026954654,0.003067229391518181,0.40152834288780054,-0.026606807649676305,0.0941472281539536,0.07022742630036016,0.014708775185966487,3.773666231904096,54.10582377127313,1.8602117594347405,3.3318612858164722,1.8204459882507178,2.9745973493774764,0.16149890395038227,21.141681629914274,1.4009288920234644,4.957136299904928,3.6976863895890943,0.774461498561213
4321108,Corrole,0.7188097437925712,0.7187243493023477,0.7367595401798397,-0.06267683566395829,-0.05517845223728088,-0.010503639394267069,-0.0779888198441485,-0.0016083042924789426,-0.06161373072151935,0.022414082190376782,0.01023271728520022,0.05863731174966189,-0.03462599167051371,0.011580351441844232,64.41220506993368,5.479607621960299,4.824051250265074,0.9182949629386795,6.818278668963296,0.14060819066790953,5.386664226145537,1.9595816270644926,0.89460922899768,5.126446748483114,3.02722442614931,1.012427978430925
4103382,Corrole,0.4627665389032294,0.4625437628096098,-0.23832536647487096,0.371765428188315,-0.1380902961123299,0.05881619004616299,0.04531589967007123,0.0036455185780954855,0.0016073770305393574,0.0014156874749351356,0.008742615976204852,0.033161878411061704,0.0661255506015787,-0.01486170559882987,24.272511992344867,37.862863477403096,14.063959778978857,5.9902002852476635,4.615248198104323,0.3712818937990331,0.1637051012532482,0.14418226528311523,0.8904014468358031,3.3774083863878106,6.734630239817384,1.513606934544806
7031337,Corrole,0.7193585070172853,0.7191299913203264,0.5803708948719523,-0.10381152556663192,0.1407142112813363,0.36287832394998226,0.01655668233599928,0.004831383923566063,-0.04727752367331312,0.016802349151706746,0.009108456285803033,0.025488965063398678,0.025027726813466995,-0.009808226234703997,43.224931296250574,7.731686926455279,10.480129463390485,27.026494195745677,1.2331105208597881,0.3598323761704631,3.521140930209283,1.2514073226542106,0.6783806711320404,1.8983701171317713,1.8640179608802099,0.7304982191202083
4321107,Corrole,0.42683686018109196,0.4261292722217273,0.134070953143056,0.26986299698588423,-0.2570820465296165,0.08960105265505353,0.04181098713916612,-0.0004199734665511091,0.004808252943182508,0.019557368232418777,0.010242627904480474,0.06723804685699261,0.03475608859796823,0.0044782382124900775,14.355588687779337,28.895462409722107,27.526947727848473,9.593993536657628,4.47689316685512,0.044968475305427004,0.5148415815727164,2.0940966523932505,1.0967249044750191,7.1994844686357276,3.7214929901786196,0.479505398576585
7049489,Corrole,0.9398199291937026,0.9395305473359241,0.0836192921812831,-0.8822163889423861,0.23313406036880946,0.0050880160883364466,0.1575170835317432,-0.08686155753621567,0.029420277291098505,0.015096252365113961,-0.026814799620425017,-0.05542823315135021,-0.07875412494563845,-0.03573446067675125,4.9488108502049,52.21189900007204,13.797490237112232,0.3011222478347237,9.322277571837741,5.14069668837904,1.7411698147190777,0.8934361383966573,1.5869707557430481,3.2803894229624633,4.660877386816785,2.1148598859212844
7041454,Corrole,0.5978688897301951,0.5978410344223657,-0.6234645530693198,-0.032411656948356446,-0.034609624783660344,-0.028861112957873424,-0.05478122617544503,0.004208858570307723,0.07788039686950936,-0.01572763488092317,-0.04599506733180376,-0.0823631614621654,-0.006034633741100003,0.0009413244544954171,61.89589950341385,3.2177429355659655,3.4359513254029737,2.8652543892075766,5.438534160982416,0.41784426365436694,7.731758275895396,1.5613976820712225,4.566267723171659,8.176795199580214,0.5991023575281055,0.09345218352626394
4515932,Corrole,0.35133373461568185,0.35066075747697517,-0.10424466730058721,-0.2820739994954006,-0.09390620534008558,-0.11793397581564562,0.06887656071894252,0.04566810202459753,0.03442289021723141,-0.025027453281974903,0.02441490465905271,-0.02894333239248424,0.026265496371933702,-0.02127554556759715,11.94024319232746,32.30891554860921,10.756069908076201,13.50822433742797,7.889160247055149,5.230850252832501,3.942817327925009,2.8666586637924936,2.7964969978367034,3.3151856733940015,3.008464820015943,2.436913030707361
