,outer_homa_avg,outer_homa_ci,inner_homa_avg,inner_homa_ci,total_out_of_plane_avg,total_out_of_plane_ci,abs_ruffling_avg,abs_ruffling_ci,abs_saddling_avg,abs_saddling_ci,abs_doming_avg,abs_doming_ci
cone_angles,0.32101657668772265,0.13248259167099877,0.08026167979009258,0.02155030425433676,1.7275583802075931,0.3323870926642411,0.7013000710769751,0.11861473609032128,1.5335991303864276,0.2632357163922687,0.29340764648356327,0.094040561216992
vdw_distances,0.11728569418905196,0.052306997029047266,0.026297875923163645,0.005365785677389579,0.6398742483932784,0.06722131108947163,0.3854828986795881,0.04698448159545731,0.5759711518197435,0.08011328451661433,0.13992162218306928,0.04423623390477756
covalent_distances,0.14668219696683463,0.03857368731295675,0.09411006581940867,0.02791039781547686,0.6942492906868839,0.05396359696475771,0.5946606965199006,0.1652065664482786,0.6486245688897849,0.06431861952163469,0.3524030175703077,0.05095506354217717
nn_distances,0.1320255320245824,0.01909150095256834,0.05418339511837923,0.021333901512580047,1.517464800131227,0.17479448011336307,0.4273286891520486,0.05566702229277831,1.5567491671963176,0.21409229978678643,0.1429430658221083,0.020688308312737807
