sid,structure,non-planarity (exp.),non-planarity (sim.),Doming,Saddling,Ruffling,WavingX,WavingY,Propellering,Doming2,Saddling2,Ruffling2,WavingX2,Propellering2,Doming (%),Saddling (%),Ruffling (%),WavingX (%),WavingY (%),Propellering (%),Doming2 (%),Saddling2 (%),Ruffling2 (%),WavingX2 (%),Propellering2 (%)
4070568,Porphyrin,1.3148723399344873,1.3134296884196708,0.3040018242237619,-1.2774891393060253,-0.06913018939402109,0.2811727785984384,0.015760131758755187,0.011134714649424908,-0.18163748444567906,-0.1224132186101809,0.019425150538643576,0.05043951954101153,0.015322888466108303,12.947669118557895,54.4092349462713,2.9443073924392036,11.975362686503118,0.6712360091860536,0.4742359733479664,7.736078736155279,5.213672169071245,0.827331949058991,2.1482575349131934,0.6526134844957622
4322358,Porphyrin,0.6490773351498872,0.6475006055582013,-0.2772923396989953,-0.6138845681754863,-0.04537454804835623,-0.11381308667853475,-0.021588226570086532,0.023560091793023152,0.1348752984683314,-0.06385927165898349,0.02378655211767415,0.041672102305652575,-0.01727778363571415,20.137660717114766,44.58182713164666,3.2952127519357157,8.26538997502718,1.5677908110426606,1.710992577389614,9.794980281904584,4.637619444181607,1.7274386905013568,3.0263319156636914,1.2547557035921604
4323731,Porphyrin,2.6475708103449214,2.64737175963414,-0.07899030736450181,2.5285261188949124,0.8335391870714307,-0.006661691679646427,-0.1546708011644949,0.013292658280596671,0.040812187796759346,0.2530263872193288,-0.0386279999398766,-0.0041133903750535696,0.037132244117069904,1.9800081837314916,63.38122454807248,20.89388517310698,0.16698509580839507,3.8770510244606857,0.33320002234800244,1.023017488217615,6.342478388929915,0.9682676084446658,0.10310817715780368,0.9307742897219659
4126290,Porphyrin,0.8259380666856769,0.8257845852975193,0.17965976980364337,-0.1881673084054561,-0.805122195566869,-0.13971889581549304,0.002668858335927025,0.021292942251238563,0.03787141005835482,0.046898787574176766,-0.03165281650352316,0.01843718289760818,-0.008245065189098235,12.141345686017253,12.71628222976679,54.40988211521302,9.44215510694776,0.18036053190379658,1.4389697416802942,2.5593369157599364,3.169403995204403,2.1390864940179455,1.245978503038506,0.5571986804502673
7037226,Porphyrin,1.3648194303879604,1.3640383612044409,-0.041127468396092305,1.3389147934594507,-0.011066092300208535,0.24840323054535676,-0.019674442282519113,0.03826172445622931,-0.026789637349994747,0.10044944332139961,0.06751983629355045,0.08677464805950383,0.018987800521607503,2.058463669255118,67.01378825511101,0.5538670345867293,12.432786294519497,0.9847220417600595,1.91503082459803,1.3408434155583413,5.027577376818275,3.379423421489578,4.343142610252651,0.9503550560507178
1513466,Porphyrin,0.40504716718971007,0.404244478129164,-0.16407435032233927,0.023974568841085703,0.41138503391513664,-0.01684597323226409,0.0717259117536893,0.008964894532926839,0.19477757527068587,-9.224461097759319e-05,-0.13161001199108086,0.04564382297192445,-0.0013279882250173158,15.328000801560403,2.239729791349311,38.43202863343976,1.5737687865283123,6.700711175715752,0.8375100088261493,18.196328822937122,0.008617589941550208,12.295147689626397,4.264094623720612,0.12406207635464114
7103688,Porphyrin,0.23181470283004138,0.2314519938457989,0.342618562803522,0.19639776963112,0.12593512104322388,-0.0004882764942764327,-0.0002586670935586811,0.01623104304946146,-0.32649090322716257,0.008860795907496107,0.10689526752801226,0.000542393636767892,7.86914079516812e-05,30.460466465689212,17.460722579749813,11.196248387713451,0.04341016919279039,0.022996770124331704,1.4430191361079299,29.026638626134986,0.7877681068739423,9.503512259331744,0.04822144792384189,0.006996051157988848
4114247,Porphyrin,0.16947390519214842,0.1672804808232307,0.011234004305767369,9.601383130517324e-06,8.027867617779245e-05,0.04664280712228729,-0.16493223442268812,9.018908338491277e-06,-0.011488844565918522,-3.954449641037471e-06,0.0035066192343765233,-0.01800007275822928,0.013924043296401224,4.163340890500135,0.00355828873700173,0.029751412414417092,17.28590276934783,61.12416348113786,0.003342422599396404,4.257785119535038,0.001465525688066779,1.299558986139877,6.670857239020303,5.160273864880067
4331928,Porphyrin,1.482055658207869,1.481835382314755,0.07825929448881408,1.2982142486854347,0.7536806611463495,0.10605974925572954,0.02643094057164834,0.01978931111704881,-0.07879120641535159,0.10204139163525915,-0.019329274007664803,0.034031729924092674,0.007133973060372541,3.1008986307444024,51.43965087414553,29.863383581886243,4.2024469220227205,1.0472834947371759,0.7841196134856893,3.1219747850267865,4.043225966549642,0.7658913831917863,1.34845254372394,0.2826722044860578
4322640,Porphyrin,0.23109440074418533,0.22630638396690808,-0.009959855767484333,4.2949164622140934e-07,-9.065743986715248e-05,0.14164409577844006,-0.008411850673497208,-2.3358344218456997e-05,0.010142032496261603,-0.0010580159807443137,-0.003159959655679717,-0.1852602589605499,-0.005243641336009273,2.7287712983402757,0.00011767082821741687,0.02483805244430557,38.80722293202387,2.304653523066152,0.006399648827061013,2.778683530035022,0.28987203317399474,0.8657562331858935,50.757048011180515,1.4366370668946808
4336510,Porphyrin,0.667924146050418,0.6652063021705553,-0.02441021902086144,0.6503717004300641,0.07102758202304398,-0.020865908188269534,0.09797505477850786,0.030578341821180802,-0.031176217830174338,0.06694776486901384,-0.044923490381285,-0.0195794126450291,-0.03602282272604852,2.231529250508705,59.45556948802646,6.493187412283012,1.9075160456675553,8.956666893139467,2.7954056515307126,2.8500621788280003,6.120219381633031,4.106808002628325,1.7899074149159577,3.2931282808387587
2013414,Porphyrin,0.2929843047802514,0.2907338601988467,-0.24712275699196287,0.2639766337293198,-0.010925383038874224,8.220687641704367e-05,9.31080163375064e-05,-0.024026053689771176,0.13872919326498606,-0.02048119196376983,-0.08655714227579868,-6.578883393425522e-05,-4.252306308616103e-05,31.198351056739337,33.326091818130145,1.3792899513792216,0.010378319750699149,0.011754549096377308,3.0332020678529696,17.514057086373622,2.585676142189289,10.927525024643225,0.00830560148194354,0.005368382363155134
4116365,Porphyrin,1.0130343693858985,1.0125691395023801,0.18633345771091622,0.8598262674744518,0.5549913648961111,-0.06783142818724389,0.03663730878736121,-0.010398305867307252,-0.14463766616835577,0.13499628267310643,0.06643190575327527,-0.05164508455382863,-0.005317700136942276,8.793267810539252,40.57608726484912,26.190614203271533,3.2010349689703275,1.7289523415837764,0.49070676512099964,6.825600457019884,6.370613638338239,3.1349900636703025,2.4371847394379906,0.2509477471985713
2240396,Porphyrin,0.6273160418129727,0.6257000025147599,0.024555839029538208,-0.39579145863241955,-0.46939104350275673,0.1669676882013387,0.07731895692790006,-0.01713581110277534,-0.00602770762721606,-0.06437290984441622,0.045214094203638804,0.0688640537938852,0.00819115138398034,1.8273015171591338,29.452478979344722,34.92932841356984,12.424756067176299,5.753623288113339,1.275146558347616,0.44854664827189666,4.7902543945313525,3.364567703669253,5.124458986065485,0.6095374437510674
