sid,metal,n_electrons,solvent
7701724,Ir,552,[]
1556872,Fe,452,[]
4350294,Ni,476,[]
7124557,Rh,434,[]
7036963,Fe,510,[]
1503509,Ni,288,[]
4323736,Ni,412,[]
4331928,Co,394,[]
4340790,Co,488,[]
4338892,Zn,454,"['c1(ccc(C)cc1)[CH][CH]O', 'Cc1ccc(C)cc1']"
4078248,Ir,472,[]
7106670,Rh,464,['CC(=O)C']
7209748,Mn,644,['CO']
7121559,Ni,380,['ClC(Cl)Cl']
1552204,Zn,518,[]
2229315,Os,460,['C1OCCC1']
4340468,Zn,382,[]
4336513,Ni,530,[]
7024657,Co,416,[]
4331927,Co,396,[]
4063567,Ir,510,"['CO', 'ClC(Cl)Cl']"
2241444,Fe,526,['CCCCCC']
4305491,Fe,668,['ClCCl']
4318797,Fe,718,['O=C(C)C']
4318628,Ru,808,[]
7057244,Zn,496,['CO']
4320458,Hg,426,['ClCCl']
4504411,Cd,410,[]
4078823,Rh,490,[]
7212339,Rh,472,[]
4317156,Fe,398,[]
4323731,Ni,360,[]
4314009,Fe,380,[]
2015603,Zn,404,[]
4067841,Rh,460,[]
4304890,Fe,650,['c1nccn1C']
2203019,Ni,492,[]
