,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,metal,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity,id
47,5,1.8755629319819713,1.9873160969830643,3.75,Fe,3.65,0.006146198537562648,0.2524487444393994,0.05605629061446824,0.18387691863177272,4338050.c
48,4,2.0903902847438,,,Sn,3.85,0.01538049267188974,0.7975701606071469,0.12982250273468895,0.43783195044891304,4339997.c
49,5,1.8814009893863086,2.208754714948222,3.95,Co,3.6,0.016448210832254527,0.28752714357381176,0.19015304059526753,0.2735589822974285,7060415
50,5,1.8845505834885385,2.2189697168093576,3.95,Co,3.6,0.006514736770203038,0.29862252570762327,0.10876949453224675,0.280336029662701,7124121
51,5,1.913193797118895,1.6449551719056055,3.65,Fe,3.65,0.03331572312220178,0.4554656015541613,0.09530782176940318,0.16951429023003523,4331976.c
52,4,2.437143611396663,,,La,4.1,0.001488949376761055,1.4686965751013483,0.31812645019799873,0.7046981150184496,7109049
53,5,1.878545816508475,2.20517860997902,3.95,Co,3.6,0.0032680780372870795,0.26161914510638823,0.06541928154216083,0.15358197224496478,1507269.c
54,4,2.0388942724672257,,,Sn,3.85,0.009595058078073763,0.6114331557142874,0.14313431096905413,0.4358168869862531,7031337.c
55,5,1.9163300681067268,2.198030878409355,3.5999999999999996,Mn,3.65,0.005473318560278726,0.22994650813388287,0.039578772313889475,0.12698208307972988,4103377.c
56,4,2.4522559478021595,,,Ce,4.08,0.023511330641393585,1.4946471954277754,0.3503161700599334,0.7261541792940509,7041071
57,6,1.8894649066891085,2.0035147478766016,3.6,Co,3.6,0.004854742496575874,0.001296669853669936,0.0630133941382308,0.062423454120237226,7049490.c
58,5,2.0362861946021504,1.683833153503636,3.6500000000000004,Mo,3.7,0.006209878096029102,0.7290401377460701,0.19179007001356752,0.42575602159556614,4331738.c
59,5,1.9923236219281972,2.03129365686845,3.8499999999999996,Ti,3.75,0.01639832354485988,0.6563312996958246,0.30009742701557657,0.30919305450116896,7112063.c
60,4,2.437143611396663,,,La,4.1,0.001488949376761055,1.4686965751013483,0.31812645019799873,0.7046981150184496,7109049.c
61,5,1.9107925895508138,2.1717194482241484,3.5999999999999996,Mn,3.65,0.005049861585538582,0.21612541593949636,0.043563137224438726,0.19591067672456464,4111293
62,4,2.0829178978839553,,,Sn,3.85,0.0031864548359435644,0.7756504244881135,0.1488648175497019,0.4361235478457216,4339998
63,5,1.942675873502279,1.6355482082387545,3.65,Cr,3.65,0.02683490432178178,0.5371582877720572,0.06833208701237613,0.15219678167233874,1100773.c
64,5,1.913193797118895,1.6449551719056055,3.65,Fe,3.65,0.03331572312220178,0.4554656015541613,0.09530782176940318,0.16951429023003523,4331976
65,5,1.9009460760694794,2.2378735098648894,3.8499999999999996,Fe,3.65,0.0017727456829558044,0.3670142416482161,0.17199527382196286,0.18751982099045672,4321107.c
66,4,1.9222165056245453,,,Mn,3.65,0.008762742729972177,0.2860376443459412,0.17771488027841406,0.30369887031799214,7240855.c
67,6,1.9374420522792875,2.1193674701232874,3.65,Cr,3.65,0.013401939447251893,0.0024317288065662163,0.1466916862023897,0.29298267276379925,4320734
68,6,2.322105479725476,2.67176951927952,3.98,Gd,3.98,0.0044546305789937655,1.2623974207910496,0.4067971886680169,0.7664487399708745,7109050.c
69,6,2.4245974586573613,2.6590828504450106,4.08,Ce,4.08,0.0013833087543926711,1.4386248681339502,0.34268570781431923,0.7030598911872624,7041067
70,4,2.318706334577411,,,Tb,3.97,0.008599483680063476,1.2727322429748156,0.34281361581886904,0.702950506077682,7109051
71,6,2.322105479725476,2.67176951927952,3.98,Gd,3.98,0.0044546305789937655,1.2623974207910496,0.4067971886680169,0.7664487399708745,7109050
72,6,1.8855643888298244,2.005937949227696,3.6,Co,3.6,0.014356323024762845,0.0065128457205559645,0.21256604189034575,0.11627003506250158,4334245
73,4,2.077774043951359,,,Sn,3.85,0.006477061333173164,0.7711847993421292,0.16556297799957445,0.41200704709318714,4084536
74,4,2.0624731965754357,,,Sn,3.85,0.025436978172256056,0.7627223069564545,0.13389545109511672,0.4953217003807908,4084537
75,5,2.0362861946021504,1.683833153503636,3.6500000000000004,Mo,3.7,0.006209878096029102,0.7290401377460701,0.19179007001356752,0.42575602159556614,4331738
76,5,1.8755629319819713,1.9873160969830643,3.75,Fe,3.65,0.006146198537562648,0.2524487444393994,0.05605629061446824,0.18387691863177272,4338050
77,5,1.9424120568248975,1.6526267771454028,3.65,Cr,3.65,0.010395296502235328,0.5694185824216719,0.14420332595877947,0.2829264019200817,4111294
78,6,2.457789079055888,2.610667373171345,4.08,Ce,4.08,0.005568106350044658,1.5057473967576571,0.3489154717348429,0.6631321433402482,7041068.c
79,4,1.8509313455945022,,,Ni,3.6,0.0061606926373496025,0.009719136485935129,0.07813872168549914,0.07702616102358395,4021631
80,6,1.9552911432187172,2.116213977912883,3.75,Pt,3.65,0.01117328786838374,0.008613639288199504,0.10202190816928926,0.14025267759410653,7115634.c
81,5,1.9332428458325674,2.6626134704767046,4.15,Mn,3.65,0.014700048545462096,0.379744107986431,0.06923511941662756,0.1374981588948857,7101887.c
82,5,1.8814009893863086,2.208754714948222,3.95,Co,3.6,0.016448210832254527,0.28752714357381176,0.19015304059526753,0.2735589822974285,7060415.c
83,5,1.9082457578783174,2.2140311319963413,3.5999999999999996,Mn,3.65,0.0004322759729346063,0.2350383422473426,0.052612368793074536,0.12905527264889788,4103380.c
84,4,1.9089609404176915,,,Cu,3.6,0.01300241036258787,0.044196102680798335,0.09465470734600172,0.20262723028953494,7015811.c
85,6,1.9609935378379924,2.125629572826324,3.75,Pt,3.65,0.004549160681245227,0.0002855443188521257,0.0558042079423613,0.11811225495430508,7115636
86,4,2.0477301087323436,,,Sn,3.85,0.007620507448021348,0.6514852541306986,0.12904767542290244,0.43923253155730835,7031338.c
87,6,1.968353740262535,2.076590484288751,3.6,Ir,3.6,0.002821603087887005,0.0012385995213864565,0.10817951970225557,0.17544959113354924,7036482.c
88,5,1.8749697244659438,2.190474743937259,3.95,Co,3.6,0.002128852890003987,0.2620064547532205,0.05737805279419839,0.14907520168570976,7120022
89,5,2.141508161865093,2.451110118605649,4.0,Zr,3.9,0.0007413947609084915,0.9139124641397038,0.13255415921667577,0.3769148529798619,7108512.c
90,5,1.9486709174124113,1.6154633652621158,3.65,Ru,3.65,0.011739863612473022,0.5581107692362405,0.07237541300045328,0.26193716352950924,4349427
91,5,1.9163300681067268,2.198030878409355,3.5999999999999996,Mn,3.65,0.005473318560278726,0.22994650813388287,0.039578772313889475,0.12698208307972988,4103377
92,5,1.8738290872481171,2.205380492364073,3.95,Co,3.6,0.010986541224724136,0.27473220169043433,0.15677804465313558,0.17681449598543203,7060416.c
93,5,2.003646520420058,2.0652808375911014,3.6500000000000004,Zn,3.7,0.007559003598067535,0.519343771982523,0.15638574587306056,0.5208509322731413,7015812.c
94,6,1.8809968678773288,1.9670788063359943,3.6,Co,3.6,0.011393749705082463,0.0014647330458952227,0.12043361137171162,0.12372707639593497,7120023
95,5,1.8823259780030708,2.2126587391107106,3.95,Co,3.6,0.00923155057867457,0.2744531189967581,0.09356646293113192,0.16143619804277384,4324827
96,4,2.0477301087323436,,,Sn,3.85,0.007620507448021348,0.6514852541306986,0.12904767542290244,0.43923253155730835,7031338
97,5,1.9424120568248975,1.6526267771454028,3.65,Cr,3.65,0.010395296502235328,0.5694185824216719,0.14420332595877947,0.2829264019200817,4111294.c
98,5,1.8792314762002353,2.232059289820725,3.95,Co,3.6,0.01989946520137123,0.2634214922433238,0.0686214664766987,0.0859272726170214,4329552
99,5,2.003646520420058,2.0652808375911014,3.6500000000000004,Zn,3.7,0.007559003598067535,0.519343771982523,0.15638574587306056,0.5208509322731413,7015812
100,5,2.0485299776615977,2.3766271650624966,3.8499999999999996,Ti,3.75,0.009841882681812273,0.8201669897648788,0.3005403700401259,0.4901551734585784,7108513.c
101,4,2.0411984514277948,,,Sn,3.85,0.009326914586944589,0.6288167760723723,0.29104025391966326,0.4217056272793186,7031339.c
102,5,1.9165416000877569,2.0747061125561856,3.5999999999999996,Mn,3.65,0.026256108418556863,0.28765656851186044,0.12372389293620527,0.1509757970190918,7115160
103,5,2.2212278077582592,2.6100282217250066,3.9699999999999998,Lu,3.87,0.010688653528815081,1.0871052286196472,0.18970383383079661,0.601133851089989,7041070.c
104,6,2.4245974586573613,2.6590828504450106,4.08,Ce,4.08,0.0013833087543926711,1.4386248681339502,0.34268570781431923,0.7030598911872624,7041067.c
105,4,2.0829178978839553,,,Sn,3.85,0.0031864548359435644,0.7756504244881135,0.1488648175497019,0.4361235478457216,4339998.c
106,6,1.9552911432187172,2.116213977912883,3.75,Pt,3.65,0.01117328786838374,0.008613639288199504,0.10202190816928926,0.14025267759410653,7115634
107,4,2.077774043951359,,,Sn,3.85,0.006477061333173164,0.7711847993421292,0.16556297799957445,0.41200704709318714,4084536.c
108,5,1.9905144408108488,2.2200303441266294,3.95,Ti,3.75,0.0037109166530472767,0.6673732066795285,0.21143905069866445,0.40082406897721135,7112064
109,5,1.8823259780030708,2.2126587391107106,3.95,Co,3.6,0.00923155057867457,0.2744531189967581,0.09356646293113192,0.16143619804277384,4324827.c
110,4,2.0411984514277948,,,Sn,3.85,0.009326914586944589,0.6288167760723723,0.29104025391966326,0.4217056272793186,7031339
111,6,1.9585242194609982,2.123651865419658,3.75,Pt,3.65,0.0037725041001778594,0.0025259159895879286,0.022721135679217314,0.041813668901491886,7115635
112,5,1.8749697244659438,2.190474743937259,3.95,Co,3.6,0.002128852890003987,0.2620064547532205,0.05737805279419839,0.14907520168570976,7120022.c
113,5,1.942675873502279,1.6355482082387545,3.65,Cr,3.65,0.02683490432178178,0.5371582877720572,0.06833208701237613,0.15219678167233874,1100773
114,5,1.9090718590583722,2.1991208131707998,3.5999999999999996,Mn,3.65,0.0027138630411830712,0.23943659487877714,0.04477487617891061,0.11697972725519652,4103379.c
115,6,2.070008990057368,2.374253373592784,4.0,Ta,3.8000000000000003,0.005169492806687453,0.9029675058042094,0.2083140628845821,0.3861841022952726,7041455
116,5,1.9128705482104051,2.1269671559499925,3.5999999999999996,Mn,3.65,0.005235885274822517,0.27604276949073714,0.10842977175519102,0.1528031212046613,4103382.c
117,5,1.9128705482104051,2.1269671559499925,3.5999999999999996,Mn,3.65,0.005235885274822517,0.27604276949073714,0.10842977175519102,0.1528031212046613,4103382
118,4,2.0903902847438,,,Sn,3.85,0.01538049267188974,0.7975701606071469,0.12982250273468895,0.43783195044891304,4339997
119,5,1.9165416000877569,2.0747061125561856,3.5999999999999996,Mn,3.65,0.026256108418556863,0.28765656851186044,0.12372389293620527,0.1509757970190918,7115160.c
120,6,1.886166756432636,1.993235494457397,3.6,Co,3.6,0.026658248343648747,0.0024323551507852976,0.09947387730472355,0.2916575242464121,7049489
121,5,1.8738290872481171,2.205380492364073,3.95,Co,3.6,0.010986541224724136,0.27473220169043433,0.15677804465313558,0.17681449598543203,7060416
122,4,2.4522559478021595,,,Ce,4.08,0.023511330641393585,1.4946471954277754,0.3503161700599334,0.7261541792940509,7041071.c
123,4,1.9533072620390057,,,Ag,3.7,0.11049681179678542,0.001461789014139098,0.0485805876482941,0.2999906851890618,4327183.c
124,6,1.9518871680915875,2.123953072663057,3.7,Pt,3.65,0.003092942095389922,0.0180970543386501,0.08592665363479395,0.14315944179104198,4515932
125,4,1.8910868432860293,,,Ni,3.6,0.008108770480965342,0.0411260031632316,0.5452584467372205,0.24500087533372655,4129027
126,5,2.0485299776615977,2.3766271650624966,3.8499999999999996,Ti,3.75,0.009841882681812273,0.8201669897648788,0.3005403700401259,0.4901551734585784,7108513
127,6,2.457789079055888,2.610667373171345,4.08,Ce,4.08,0.005568106350044658,1.5057473967576571,0.3489154717348429,0.6631321433402482,7041068
128,6,1.879182874726423,1.9941979859892163,3.6,Co,3.6,0.004699567416888217,0.006605701854669209,0.10762435827030388,0.10092724488207036,7214135.c
129,5,1.9291834548144544,2.1533552223553363,3.5999999999999996,Mn,3.65,0.007495440255419039,0.22143819916182253,0.024442468312321098,0.11214579401398103,4103378.c
